#{W0 -> 1, a0 -> 0.01, zb -> 10, r -> 0.5, l -> 0.05, b -> 1,  q0 -> 0.005, p -> 0.5, h -> 0.1 }
# {z1 -> 2.691469, z2 -> 4.915440, u -> 4.5, w -> 0.15}
Nu0,M1,M2,stable
5.61,128.018,0,True

5.62,0,0,False

5.62,0,89.0155,False

5.62,128.187,0,True

5.63,0,0,False

5.63,0,89.1407,False

5.63,128.356,0,True

5.64,0,0,False

5.64,0,89.2658,False

5.64,128.524,0,True

5.65,0,0,False

5.65,0,89.3909,False

5.65,128.693,0,True

5.66,0,0,False

5.66,0,89.5157,False

5.66,128.861,0,True

5.67,0,0,False

5.67,0,89.6405,False

5.67,129.029,0,True

5.68,0,0,False

5.68,0,89.7652,False

5.68,129.197,0,True

5.69,0,0,False

5.69,0,89.8898,False

5.69,129.365,0,True

5.7,0,0,False

5.7,0,90.0142,False

5.7,129.533,0,True

5.71,0,0,False

5.71,0,90.1385,False

5.71,129.7,0,True

5.72,0,0,False

5.72,0,90.2628,False

5.72,129.867,0,True

5.73,0,0,False

5.73,0,90.3869,False

5.73,130.034,0,True

5.74,0,0,False

5.74,0,90.5109,False

5.74,130.201,0,True

5.75,0,0,False

5.75,0,90.6347,False

5.75,130.368,0,True

5.76,0,0,False

5.76,0,90.7585,False

5.76,130.534,0,True

5.77,0,0,False

5.77,0,90.8822,False

5.77,130.7,0,True

5.78,0,0,False

5.78,0,91.0057,False

5.78,130.867,0,True

5.79,0,0,False

5.79,0,91.1292,False

5.79,131.033,0,True

5.8,0,0,False

5.8,0,91.2525,False

5.8,131.198,0,True

5.81,0,0,False

5.81,0,91.3757,False

5.81,131.364,0,True

5.82,0,0,False

5.82,0,91.4988,False

5.82,131.529,0,True

5.83,0,0,False

5.83,0,91.6218,False

5.83,131.695,0,True

5.84,0,0,False

5.84,0,91.7447,False

5.84,131.86,0,True

5.85,0,0,False

5.85,0,91.8675,False

5.85,132.024,0,True

5.86,0,0,False

5.86,0,91.9902,False

5.86,132.189,0,True

5.87,0,0,False

5.87,0,92.1127,False

5.87,132.354,0,True

5.88,0,0,False

5.88,0,92.2352,False

5.88,132.518,0,True

5.89,0,0,False

5.89,0,92.3575,False

5.89,132.682,0,True

5.9,0,0,False

5.9,0,92.4798,False

5.9,132.846,0,True

5.91,0,0,False

5.91,0,92.6019,False

5.91,133.01,0,True

5.92,0,0,False

5.92,0,92.7239,False

5.92,133.174,0,True

5.93,0,0,False

5.93,0,92.8458,False

5.93,133.337,0,True

5.94,0,0,False

5.94,0,92.9676,False

5.94,133.5,0,True

5.95,0,0,False

5.95,0,93.0893,False

5.95,133.664,0,True

