# {W0 -> 1, a0 -> 0.01, zb -> 10, r -> 0.5, l -> 0.05, b -> 1,  q0 -> 0.005, p -> 0.5, h -> 0.1 }
#{z1 -> 3.537603, z2 -> 5.762877, u -> 4.5, w -> 0.1}
Nu0,M1,M2,stable
5.47,126.343,0,True

5.48,0,0,False

5.48,0,86.192,False

5.48,126.505,0,True

5.49,0,0,False

5.49,0,86.3104,False

5.49,126.666,0,True

5.5,0,0,False

5.5,0,86.4286,False

5.5,126.827,0,True

5.51,0,0,False

5.51,0,86.5467,False

5.51,126.988,0,True

5.52,0,0,False

5.52,0,86.6648,False

5.52,127.148,0,True

5.53,0,0,False

5.53,0,86.7827,False

5.53,127.309,0,True

5.54,0,0,False

5.54,0,86.9005,False

5.54,127.469,0,True

5.55,0,0,False

5.55,0,87.0182,False

5.55,127.63,0,True

5.56,0,0,False

5.56,0,87.1358,False

5.56,127.789,0,True

5.57,0,0,False

5.57,0,87.2533,False

5.57,127.949,0,True

5.58,0,0,False

5.58,0,87.3707,False

5.58,128.109,0,True

5.59,0,0,False

5.59,0,87.4879,False

5.59,128.268,0,True

5.6,0,0,False

5.6,0,87.6051,False

5.6,128.428,0,True

5.61,0,0,False

5.61,0,87.7222,False

5.61,128.587,0,True

5.62,0,0,False

5.62,0,87.8391,False

5.62,128.746,0,True

5.63,0,0,False

5.63,0,87.956,False

5.63,128.905,0,True

5.64,0,0,False

5.64,0,88.0727,False

5.64,129.063,0,True

5.65,0,0,False

5.65,0,88.1894,False

5.65,129.222,0,True

5.66,0,0,False

5.66,0,88.3059,False

5.66,129.38,0,True

5.67,0,0,False

5.67,0,88.4224,False

5.67,129.538,0,True

5.68,0,0,False

5.68,0,88.5387,False

5.68,129.696,0,True

5.69,0,0,False

5.69,0,88.6549,False

5.69,129.854,0,True

5.7,0,0,False

5.7,0,88.771,False

5.7,130.011,0,True

5.71,0,0,False

5.71,0,88.8871,False

5.71,130.169,0,True

5.72,0,0,False

5.72,0,89.003,False

5.72,130.326,0,True

5.73,0,0,False

5.73,0,89.1188,False

5.73,130.483,0,True

5.74,0,0,False

5.74,0,89.2345,False

5.74,130.64,0,True

5.75,0,0,False

5.75,0,89.3501,False

5.75,130.797,0,True

5.76,0,0,False

5.76,0,89.4656,False

5.76,130.953,0,True

